Planet,Star,Period,Ecc,K,M2sini,References
HD142 b,HD142,350.3,0.25,33.9,415,Tinney2002
HD1461 b,HD1461,5.77,0,2.44,6.94,Rivera2010
HD1461 c,HD1461,13.5,0,1.57,5.92,This paper & Segransan2011
HD4113 b,HD4113,526.62,0.9,97.09,523.9,Tamuz2008
HD4208 b,HD4208,828,0.05,19.05,256.6,Vogt2002
HD4308 b,HD4308,15.62,0.08,4,13.45,Udry2008
HD6434 b,HD6434,21.99,0.17,34.2,126.2,Mayor2004
HD7199 b,HD7199,615,0.19,7.8,92,Dumusque2011
HD7449 b,HD7449 ,1275,0.82,41.6,353,Dumusque2011
HD7449 c,HD7449 ,4046,0.53,30,636,Dumusque2011
HD10180 b,HD10180 ,1.17,0,0.89,1.52,Lovis2010
HD10180 c,HD10180 ,5.75,0.07,4.53,13.2,Lovis2010
HD10180 d,HD10180 ,16.36,0.16,2.92,11.9,Lovis2010
HD10180 e,HD10180 ,49.75,0.06,4.16,24.8,Lovis2010
HD10180 f,HD10180 ,122.7,0.13,2.94,23.4,Lovis2010
HD10180 g,HD10180 ,595,0,1.62,22.1,Lovis2010
HD10180 h,HD10180 ,2149,0.15,3.21,67,Lovis2010
HD10647 b,HD10647 ,1003,0.15,17.89,294,Butler2006
HD11964A b,HD11964A ,37.94,0.21,3.56,16.8,Wright2009
HD11964A c,HD11964A ,2010,0.07,9.74,176,Wright2009
HD13808 b,HD13808 ,14.18,0.17,3.53,10.33,This paper & Queloz2011
HD13808 c,HD13808 ,53.83,0.43,2.81,11.55,This paper & Queloz2011
HD16141 b,HD16141 ,75.52,0.25,11.98,79.3,Marcy2000
HD16417 b,HD16417 ,16.43,0.22,3.33,14.7,O’Toole2009
HD19994 b,HD19994 ,466.2,0.26,29.29,421.7,Mayor2004
HD20003 b,HD20003 ,11.84,0.4,4.03,12,This paper & Udry2011
HD20003 c,HD20003 ,33.82,0.16,2.95,13.42,This paper & Udry2011
HD20781 b,HD20781 ,29.15,0.11,3.03,12.04,This paper & Udry2011
HD20781 c,HD20781 ,85.13,0.28,2.88,15.78,This paper & Udry2011
HD20782 b,HD20782 ,596.2,0.93,78.7,361,Jones2006
HD20794 b,HD20794 ,18.31,0,0.83,2.7,Pepe2011
HD20794 c,HD20794 ,40.11,0,0.56,2.4,Pepe2011
HD20794 d,HD20794 ,90.3,0,0.85,4.8,Pepe2011
HD21693 b,HD21693 ,22.65,0.26,2.73,10.22,This paper & Udry2011
HD21693 c,HD21693 ,53.88,0.24,4.02,20.57,This paper & Udry2011
HD23079 b,HD23079 ,730.6,0.1,54.9,776.6,Tinney2002
HD27631 b,HD27631 ,2220,0.17,27,540.3,Marmier2011
HD28185 b,HD28185 ,379,0.05,163.5,1842.5,Santos2001
HD30562 b,HD30562 ,1157,0.75,33.7,423.5,Fischer2009
HD31527 b,HD31527 ,16.54,0.13,3.01,11.55,This paper & Udry2011
HD31527 c,HD31527 ,51.28,0.11,2.83,15.82,This paper & Udry2011
HD31527 d,HD31527 ,274.49,0.38,1.79,16.5,This paper & Udry2011
HD38858 b,HD38858 ,407.15,0.27,2.99,30.55,This paper & Benz2011
HD39091 b,HD39091 ,2151,0.64,196.39,3206.3,Jones2002
HD39194 b,HD39194 ,5.63,0.2,1.95,3.71,This paper & Queloz2011
HD39194 c,HD39194 ,14.02,0.11,2.26,5.94,This paper & Queloz2011
HD39194 d,HD39194 ,33.94,0.2,1.49,5.13,This paper & Queloz2011          [5]
HD40307 b,HD40307 ,4.31,0.19,1.94,4.07,Mayor2009
HD40307 c,HD40307 ,9.62,0.08,2.34,6.51,Mayor2009
HD40307 d,HD40307 ,20.43,0.11,2.48,8.85,Mayor2009
HD45184 b,HD45184 ,5.88,0.18,4.09,11.59,This paper & Udry2011
HD45364 b,HD45364 ,226,0.18,7.44,61.1,Correia2009
HD45364 c,HD45364 ,344.3,0.12,22.97,219,Correia2009
HD47186 b,HD47186 ,4.08,0.04,9.28,23,Bouchy2009
HD47186 c,HD47186 ,3552,0.28,8.12,185,Bouchy2009
HD50499 b,HD50499 ,2457.87,0.25,23.02,554.5,Vogt2005
HD51608 b,HD51608 ,14.07,0.15,4.1,13.14,This paper & Udry2011
HD51608 c,HD51608 ,95.41,0.41,3.25,17.97,"This paper & Udry2011             [1],[3]"
HD52265 b,HD52265 ,119.29,0.32,42.09,340.5,Butler2000
HD65216 b,HD65216 ,579,0.26,37.8,449,Mayor2004
HD65216 c,HD65216 ,5542,0.15,27.5,712,Marmier2011
HD69830 b,HD69830 ,8.66,0.1,3.53,9.86,Lovis2006
