 planet number, system id,  a [AU],   M [Mearth],  R [Rearth],  ecc,   inc,  stellar [Fe/H]      
              1               1      3.5788         0.51802          1.1976         0.11585E-04     0.21236E-03    -0.44476E-01
              2               1     0.57383         0.37675         0.71775         0.35680E-04     0.34439E-03    -0.44476E-01
              3               1      2.4487         0.25187         0.63488         0.60047E-05     0.19973E-02    -0.44476E-01
              4               1     0.83769E-01     0.14560         0.52495         0.14769E-05     0.10590E-04    -0.44476E-01
              5               1     0.24571         0.25197         0.62668         0.98008E-06     0.22937E-03    -0.44476E-01
              6               1      10.823         0.13250         0.80728         0.26488E-04     0.53784E-02    -0.44476E-01
              7               1     0.47923         0.35507         0.70441         0.63841E-05     0.55191E-03    -0.44476E-01
              8               1      26.577         0.10160          1.0060         0.73177E-04     0.43957E-02    -0.44476E-01
              9               1      1.8218         0.32394         0.68748         0.61417E-02     0.37024E-02    -0.44476E-01
             10               1     0.88057         0.39561         0.73017         0.11330E-04     0.60114E-03    -0.44476E-01
             11               1      16.393         0.11319          1.8743         0.53370E-04     0.25958E-02    -0.44476E-01
             12               1      1.1426         0.38196         0.72212         0.28041E-05     0.31312E-02    -0.44476E-01
             13               1      6.9522         0.18262         0.82041         0.28264E-04     0.76243E-02    -0.44476E-01
             14               1     0.96628         0.31499         0.67984         0.83894E-05     0.28233E-04    -0.44476E-01
             15               1     0.35792         0.31110         0.67341         0.18408E-05     0.48595E-03    -0.44476E-01
             16               1      6.3007         0.21374         0.87788         0.35679E-04     0.69720E-02    -0.44476E-01
             17               1     0.63976E-01     0.12456         0.53364         0.11407E-05     0.37464E-04    -0.44476E-01
             18               1     0.13016         0.17893         0.56182         0.74592E-05     0.18204E-03    -0.44476E-01
             19               1      36.450         0.10030         0.78677         0.88075E-04     0.66657E-02    -0.44476E-01
             20               2     0.73098         0.18795         0.57752         0.13232E-04     0.54990E-03    -0.34706    
             21               2     0.10308         0.12272         0.49837         0.21556E-05     0.36528E-03    -0.34706    
             22               2      19.969         0.10409          1.2957         0.48636E-04     0.40284E-02    -0.34706    
             23               2     0.31828         0.14392         0.52653         0.26531E-06     0.27764E-03    -0.34706    
             24               2     0.45325         0.17369         0.56203         0.28115E-06     0.13942E-02    -0.34706    
             25               2      36.811         0.10015         0.74914         0.69544E-04     0.28773E-02    -0.34706    
             26               2      4.7515         0.15185         0.66853         0.12745E-04     0.89850E-02    -0.34706    
             27               2      2.3476         0.14925         0.53780         0.93263E-05     0.53791E-02    -0.34706    
             28               2      10.567         0.10892         0.73454         0.67339E-04     0.29064E-02    -0.34706    
             29               2      3.2318         0.20387         0.72105         0.11354E-04     0.73209E-02    -0.34706    
             30               2      5.3020         0.13962         0.65111         0.24213E-04     0.71171E-02    -0.34706    
             31               2      1.2762         0.18771         0.57770         0.24422E-05     0.32221E-02    -0.34706    
             32               2     0.33417         0.14269         0.52524         0.97115E-06     0.10621E-02    -0.34706    
             33               2      7.2505         0.11912         0.61856         0.20629E-04     0.39785E-02    -0.34706    
             34               2      6.6731         0.12305         0.62523         0.21556E-04     0.56580E-02    -0.34706    
             35               2      18.706         0.10563          1.4108         0.48924E-04     0.32999E-02    -0.34706    
             36               2      1.8543         0.16704         0.55758         0.29755E-05     0.23282E-02    -0.34706    
             37               2     0.58480E-01     0.10664         0.50780         0.46206E-06     0.52611E-03    -0.34706    
             38               2      14.527         0.10317         0.82357         0.42114E-04     0.19301E-02    -0.34706    
             39               2      32.814         0.10038         0.81321         0.67547E-04     0.22681E-02    -0.34706    
             40               3     0.13243         0.18390         0.56697         0.24606E-05     0.14901E-07    -0.42015    
             41               3     0.53824         0.56301         0.81490         0.33959E-05     0.14901E-07    -0.42015    
             42               3      2.5960         0.72002          1.3114         0.79862E-05     0.10773E-03    -0.42015    
             43               3     0.98077E-01     0.27920         0.64708         0.95473E-05      0.0000        -0.42015    
             44               3      7.9894         0.29934         0.92755         0.24384E-04     0.17428E-02    -0.42015    
             45               3     0.11264         0.20275         0.58489         0.37262E-01      0.0000        -0.42015    
             46               3     0.37565         0.66444         0.85623         0.15802E-04      0.0000        -0.42015    
             47               3     0.53856E-01     0.12598         0.53584         0.24860E-05      0.0000        -0.42015    
             48               3      3.7008          1.9699          2.1033         0.18479E-04     0.18512E-03    -0.42015    
             49               3     0.23181         0.35778         0.70045         0.70886E-05      0.0000        -0.42015    
             50               3      17.521         0.15198         0.86474         0.72477E-04     0.58405E-02    -0.42015    
             51               3     0.17880         0.44544         0.74841         0.26711E-01      0.0000        -0.42015    
             52               3      31.737         0.11713          1.6305         0.10910E-03     0.12649E-02    -0.42015    
             53               3     0.20799         0.20564         0.58701         0.23664E-04     0.78849E-07    -0.42015    
             54               3     0.71700         0.56503         0.81592         0.60174E-05     0.33320E-07    -0.42015    
             55               3     0.68304E-01     0.15447         0.53506         0.74083E-02      0.0000        -0.42015    
